"id","Name","Full_Address","Website","Plus_Code","Rating","Reviews","URL",
"29","Mitra Bukalapak - SRC sahabat","SRC sahabat jln banyuwangi desa sumberejo rt.002 rw.004,kelurahan waringin agung kecamatan gambiran kabupaten banyuwangi 2mb buka jam 08.00wib tutup jam 21.00wib, Sumberrejo, Gambiran, Kec. Gambiran, Kabupaten Banyuwangi, Jawa Timur 68486","mitra.bukalapak.com","H5FC+79 Gambiran, Banyuwangi Regency, East Java","","","https://www.google.com/maps/place/Mitra+Bukalapak+-+SRC+sahabat/@-8.3763299,114.1025257,13z/data=!4m9!1m3!2m2!1sSRC!6e6!3m4!1s0x2dd3ffe38b32a7c1:0xc646348086999050!8m2!3d-8.42679!4d114.171!5m1!1e1?hl=en",
"28","SRC ILHAM","Jl. Tegalsari No.15, Jalen I, Setail, Kec. Genteng, Kabupaten Banyuwangi, Jawa Timur 68465","","J4JR+FP Setail, Banyuwangi Regency, East Java","","","https://www.google.com/maps/place/SRC+ILHAM/@-8.3763299,114.1025257,13z/data=!4m9!1m3!2m2!1sSRC!6e6!3m4!1s0x2dd6abd91f1b4971:0xfa4cc07815782699!8m2!3d-8.3687615!4d114.1418418!5m1!1e1?hl=en",
"27","SRC DAYAT","Curahketangi Barat, Setail, Genteng, Banyuwangi Regency, East Java 68465","","M44J+JQ Setail, Banyuwangi Regency, East Java","","","https://www.google.com/maps/place/SRC+DAYAT/@-8.3763299,114.1025257,13z/data=!4m9!1m3!2m2!1sSRC!6e6!3m4!1s0x2dd6ab584b9e74c9:0xf94b97d681b5d1cf!8m2!3d-8.3434867!4d114.1319807!5m1!1e1?hl=en",
"26","Src rizky","Tlogosari, Jambewangi, Sempu, Banyuwangi Regency, East Java 68468","","M4WW+J6 Jambewangi, Banyuwangi Regency, East Java","","","https://www.google.com/maps/place/Src+rizky/@-8.347291,114.1016675,13z/data=!4m9!1m3!2m2!1sSRC!6e6!3m4!1s0x2dd153c6d0b5ae5d:0xed645b68e739a7fd!8m2!3d-8.3034686!4d114.1455875!5m1!1e1?hl=en",
"25","Toko SRC UD.WAHYU","perempatan, Krajan, Tamanagung, Cluring, Kabupaten Banyuwangi, Jawa Timur 68482","","H6W8+G2 Tamanagung, Banyuwangi Regency, East Java","","","https://www.google.com/maps/place/Toko+SRC+UD.WAHYU/@-8.4629368,114.1565991,13z/data=!4m9!1m3!2m2!1sSRC!6e6!3m4!1s0x2dd3ff996eb326d7:0x1f96f5aff8e9c1e6!8m2!3d-8.4036726!4d114.2150782!5m1!1e1?hl=en",
"24","Src Putra Jati","Pesawahan, Cluring, Banyuwangi Regency, East Java","","H5QR+CJ Cluring, Banyuwangi Regency, East Java","","","https://www.google.com/maps/place/Src+Putra+Jati/@-8.4629368,114.1565991,13z/data=!4m9!1m3!2m2!1sSRC!6e6!3m4!1s0x2dd3fe34ca9dee3f:0x3f47a3568b945ce6!8m2!3d-8.411382!4d114.1916152!5m1!1e1?hl=en",
"23","Mitra Bukalapak - SRC sahabat","SRC sahabat jln banyuwangi desa sumberejo rt.002 rw.004,kelurahan waringin agung kecamatan gambiran kabupaten banyuwangi 2mb buka jam 08.00wib tutup jam 21.00wib, Sumberrejo, Gambiran, Kec. Gambiran, Kabupaten Banyuwangi, Jawa Timur 68486","mitra.bukalapak.com","H5FC+79 Gambiran, Banyuwangi Regency, East Java","","","https://www.google.com/maps/place/Mitra+Bukalapak+-+SRC+sahabat/@-8.4629399,114.1567708,13z/data=!4m9!1m3!2m2!1sSRC!6e6!3m4!1s0x2dd3ffe38b32a7c1:0xc646348086999050!8m2!3d-8.42679!4d114.171!5m1!1e1?hl=en",
"22","SRC DINDA MART CLURING","Jl. Diponegoro, Simbar 1, Tampo, Cluring, Kabupaten Banyuwangi, Jawa Timur 68482","","H65M+C8 Tampo, Banyuwangi Regency, East Java","","","https://www.google.com/maps/place/SRC+DINDA+MART+CLURING/@-8.4482288,114.2196697,13z/data=!4m9!1m3!2m2!1sSRC!6e6!3m4!1s0x2dd3ffcfb12d5a5b:0x88fcf6e17e3976a1!8m2!3d-8.4414487!4d114.2333016!5m1!1e1?hl=en",
"21","SRC PUTRI","Jl. Diponegoro, Dusun Krajan, Plampangrejo, Cluring, Kabupaten Banyuwangi, Jawa Timur 68482","","G7J9+VQ Plampangrejo, Banyuwangi Regency, East Java","","","https://www.google.com/maps/place/SRC+PUTRI/@-8.4482288,114.2196697,13z/data=!4m9!1m3!2m2!1sSRC!6e6!3m4!1s0x2dd3fda260848769:0x696ad25c5c5daf6c!8m2!3d-8.4677727!4d114.2693765!5m1!1e1?hl=en",
"20","SRC KARSO","Jl. Srono - Muncar No.121, Srono, Kebaman, Kec. Srono, Kabupaten Banyuwangi, Jawa Timur 68471","","H7W9+9Q Kebaman, Banyuwangi Regency, East Java","","","https://www.google.com/maps/place/SRC+KARSO/@-8.4482288,114.2196697,13z/data=!4m9!1m3!2m2!1sSRC!6e6!3m4!1s0x2dd3fd3a2045e565:0x2607a1ca9fb753cb!8m2!3d-8.4040772!4d114.2693891!5m1!1e1?hl=en",
